stored_points,memory_MB,avg_insert_time_ms
100,351.33203125,211.38940811157227
200,414.83203125,204.95994329452515
300,466.95703125,206.9866180419922
400,541.83203125,214.6642804145813
500,593.70703125,207.134850025177
600,645.70703125,210.59618473052979
700,743.58203125,218.6904001235962
800,795.58203125,204.70500469207764
900,847.08203125,207.22651481628418
1000,898.58203125,212.16816425323486
1100,950.45703125,207.5900673866272
1200,1001.95703125,204.31485891342163
1300,1053.33203125,212.33092546463013
1400,1192.58203125,210.07972240447998
1500,1249.70703125,207.7019453048706
1600,1300.83203125,213.02852630615234
1700,1351.70703125,209.91293907165527
1800,1402.83203125,206.83485746383667
1900,1453.83203125,216.23048543930054
2000,1504.70703125,205.63412189483643
2100,1555.83203125,218.14402103424072
2200,1606.70703125,215.40950536727905
2300,1657.20703125,208.18723440170288
2400,1708.08203125,206.58994674682617
2500,1758.95703125,215.36017656326294
2600,1809.58203125,208.96329164505005
2700,1859.83203125,213.33737134933472
2800,2045.45703125,217.95831680297852
2900,2151.83203125,208.8790464401245
3000,2204.58203125,207.45128631591797
3100,2254.95703125,213.79305601119995
3200,2305.45703125,207.76795625686646
3300,2355.58203125,206.444251537323
3400,2405.83203125,223.05180072784424
3500,2455.95703125,207.9600977897644
3600,2506.08203125,206.8511939048767
3700,2556.08203125,213.5250210762024
3800,2606.08203125,206.54268503189087
3900,2655.70703125,207.01530694961548
4000,2705.58203125,213.17057371139526
4100,2755.08203125,206.5540313720703
4200,2804.83203125,217.48220920562744
4300,2854.58203125,213.71020793914795
4400,2904.20703125,206.75770044326782
4500,2953.83203125,206.71475410461426
4600,3002.95703125,213.97241592407227
4700,3052.45703125,206.12083196640015
4800,3101.83203125,206.43117666244507
4900,3151.20703125,213.06348085403442
5000,3200.83203125,206.30126953125
5100,3249.70703125,206.2464952468872
5200,3298.95703125,213.27394008636475
5300,3348.08203125,220.950608253479
5400,3397.20703125,206.37590885162354
5500,3446.58203125,213.26627016067505
5600,3591.20703125,208.46967697143555
5700,3798.95703125,209.72095251083374
5800,3934.83203125,215.5549716949463
5900,4012.45703125,207.92898893356323
6000,4074.20703125,206.9339895248413
6100,4126.58203125,216.482994556427
6200,4175.95703125,210.9164595603943
6300,4224.95703125,208.56051683425903
6400,4273.45703125,215.65520524978638
6500,4322.08203125,208.20857763290405
6600,4369.70703125,207.45078802108765
6700,4418.58203125,235.22863149642944
6800,4466.95703125,207.60049104690552
6900,4515.70703125,207.35697031021118
7000,4564.45703125,215.40528774261475
7100,4612.83203125,207.89780378341675
7200,4661.20703125,208.1139874458313
7300,4709.83203125,214.63367462158203
7400,4757.95703125,206.5327000617981
7500,4806.20703125,209.42411184310913
7600,4854.58203125,217.38742351531982
7700,4902.45703125,208.39735746383667
7800,4950.95703125,208.28057527542114
7900,4999.20703125,214.52404737472534
8000,5047.33203125,207.61945009231567
8100,5095.33203125,207.7855086326599
8200,5143.70703125,215.34013271331787
8300,5191.83203125,210.12113094329834
8400,5239.70703125,229.97881174087524
8500,5287.58203125,215.1801300048828
8600,5335.20703125,207.1030855178833
8700,5383.08203125,207.9892110824585
8800,5431.08203125,215.14032363891602
8900,5478.83203125,209.335458278656
9000,5526.83203125,209.5655345916748
9100,5574.58203125,215.26861667633057
9200,5622.33203125,208.60473155975342
9300,5669.95703125,207.87589073181152
9400,5717.45703125,215.84210872650146
9500,5765.20703125,211.73371076583862
9600,5812.95703125,210.75552463531494
9700,5860.33203125,211.37061834335327
9800,5907.58203125,218.2819962501526
9900,5955.08203125,210.63323497772217
10000,6002.58203125,210.16011238098145
